"","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count"
"1",2011-02-01 00:00:00,1,0,1,2,6.56,9.09,64,7.0015,2,6,8
"2",2011-02-01 01:00:00,1,0,1,2,6.56,9.09,69,7.0015,0,3,3
"3",2011-02-01 02:00:00,1,0,1,2,6.56,11.365,69,0,0,2,2
"4",2011-02-01 03:00:00,1,0,1,2,6.56,11.365,69,0,0,2,2
"5",2011-02-01 04:00:00,1,0,1,2,6.15,10.985,81,0,0,0,0
"6",2011-02-01 05:00:00,1,0,1,3,5.74,10.605,93,0,0,3,3
"7",2011-02-01 06:00:00,1,0,1,3,5.74,10.605,93,0,0,22,22
"8",2011-02-01 07:00:00,1,0,1,3,6.56,11.365,93,0,0,52,52
"9",2011-02-01 08:00:00,1,0,1,3,6.56,11.365,93,0,3,132,135
"10",2011-02-01 09:00:00,1,0,1,2,6.56,11.365,93,0,2,114,116
"11",2011-02-01 10:00:00,1,0,1,2,6.56,11.365,93,0,0,47,47
"12",2011-02-01 11:00:00,1,0,1,2,7.38,12.12,86,0,2,49,51
"13",2011-02-01 12:00:00,1,0,1,2,8.2,12.88,86,0,2,53,55
"14",2011-02-01 13:00:00,1,0,1,2,8.2,12.88,86,0,3,49,52
"15",2011-02-01 14:00:00,1,0,1,2,9.02,12.88,80,6.0032,5,49,54
"16",2011-02-01 15:00:00,1,0,1,2,9.84,14.395,75,0,7,45,52
"17",2011-02-01 16:00:00,1,0,1,2,9.84,12.12,75,8.9981,3,61,64
"18",2011-02-01 17:00:00,1,0,1,2,9.84,14.395,75,0,4,172,176
"19",2011-02-01 18:00:00,1,0,1,2,9.84,12.88,81,7.0015,3,165,168
"20",2011-02-01 19:00:00,1,0,1,2,9.84,12.12,81,8.9981,3,105,108
"21",2011-02-01 20:00:00,1,0,1,2,9.02,11.365,87,8.9981,5,69,74
"22",2011-02-01 21:00:00,1,0,1,2,9.02,11.365,87,8.9981,0,64,64
"23",2011-02-01 22:00:00,1,0,1,2,9.02,12.88,87,6.0032,2,34,36
"24",2011-02-01 23:00:00,1,0,1,3,8.2,9.85,93,12.998,1,15,16
"25",2011-02-02 00:00:00,1,0,1,3,9.02,12.12,93,7.0015,0,2,2
"26",2011-02-02 01:00:00,1,0,1,3,9.02,11.365,93,12.998,0,3,3
"27",2011-02-02 02:00:00,1,0,1,3,9.02,11.365,93,8.9981,4,0,4
"28",2011-02-02 03:00:00,1,0,1,3,9.02,11.365,93,8.9981,0,1,1
"29",2011-02-02 04:00:00,1,0,1,3,9.02,10.605,93,19.0012,0,1,1
"30",2011-02-02 05:00:00,1,0,1,3,9.02,12.12,93,7.0015,0,3,3
"31",2011-02-02 06:00:00,1,0,1,3,9.02,12.12,93,7.0015,1,17,18
"32",2011-02-02 07:00:00,1,0,1,3,9.02,10.605,93,15.0013,1,48,49
"33",2011-02-02 08:00:00,1,0,1,3,9.02,10.605,93,15.0013,1,154,155
"34",2011-02-02 09:00:00,1,0,1,2,9.84,12.88,93,6.0032,4,119,123
"35",2011-02-02 10:00:00,1,0,1,2,9.02,13.635,100,0,2,59,61
"36",2011-02-02 11:00:00,1,0,1,2,9.84,11.365,93,12.998,5,47,52
"37",2011-02-02 12:00:00,1,0,1,2,9.84,11.365,93,15.0013,3,61,64
